era,season_number,serial_title,story_number,episode_number,episode_title,type,first_aired,production_code,uk_viewers,rating_episodes,duration,air_date,rating_imdb,rating_n,desc,director,writer
revived,11.0,,285,9.0,It Takes You Away,episode,02-12-2018,,6.42,80.0,49.0,2 Dec. 2018,6.0,5280.0,"On the edge of a Norwegian fjord, in the present day, The Doctor, Ryan, Graham and Yaz discover a boarded-up cottage and a girl named Hanne in need of their help. What has happened here? What monster lurks in the woods around the cottage - and beyond?",Jamie Childs,Ed Hime
revived,11.0,,286,10.0,The Battle of Ranskoor Av Kolos,episode,09-12-2018,,6.65,79.0,50.0,9 Dec. 2018,5.0,4804.0,"Answering nine separate distress calls, the Doctor and team arrive on the remnants of a brutal battlefield on the planet Ranskoor Av Kolos. This planet has many secrets. An amnesiac commander? Mysterious mists? Who or what are the Ux? A deadly reckoning awaits the Doctor and team once they have the answers....",Jamie Childs,Chris Chibnall
revived,11.0,,287,,Resolution,special,01-01-2019,,7.13,80.0,60.0,,,,,Wayne Yip,Chris Chibnall
revived,12.0,,288a,1.0,"Spyfall, Part 1",episode,01-01-2020,,6.89,82.0,59.0,1 Jan. 2020,6.4,5401.0,"When intelligence agents around the world come under attack from alien forces, MI6 turns to the only person who can help... The Doctor.",Jamie Magnus Stone,Chris Chibnall
revived,12.0,,288b,2.0,"Spyfall, Part 2",episode,05-01-2020,,6.07,82.0,60.0,5 Jan. 2020,6.3,4781.0,A terrifying plan to destroy humanity is about to reach fruition. Can the Doctor and her friends escape multiple traps and defeat a deadly alliance?,Lee Haven Jones,Chris Chibnall
revived,12.0,,289,3.0,Orphan 55,episode,12-01-2020,,5.38,77.0,46.0,12 Jan. 2020,3.9,5383.0,"Having decided that everyone could do with a holiday, Graham accidentally teleports himself, the Doctor Yasmin and Ryan to a luxury resort for a spot of rest and relaxation. However, they discover the place where they are having a break is hiding a number of deadly secrets. What are the ferocious monsters that are attacking Tranquility Spa?",Lee Haven Jones,Ed Hime
revived,12.0,,290,4.0,Nikola Tesla's Night of Terror,episode,19-01-2020,,5.2,79.0,50.0,19 Jan. 2020,6.3,4292.0,"The time: the earliest years of the 20th century. The place: New York City. Inventor Nikola Tesla is at war with his rival Thomas Edison. However, there's an even greater threat in their midst.",Nida Manzoor,Nina Metivier
revived,12.0,,291,5.0,Fugitive of the Judoon,episode,26-01-2020,,5.57,83.0,50.0,26 Jan. 2020,7.3,4692.0,"Stomping their way into present-day Gloucester, the Judoon are on the hunt for someone on the run. Who is this fugitive? And why are these alien mercenaries after them?",Nida Manzoor,Vinay Patel
revived,12.0,,291,5.0,Fugitive of the Judoon,episode,26-01-2020,,5.57,83.0,50.0,26 Jan. 2020,7.3,4692.0,"Stomping their way into present-day Gloucester, the Judoon are on the hunt for someone on the run. Who is this fugitive? And why are these alien mercenaries after them?",Nida Manzoor,Chris Chibnall
revived,12.0,,292,6.0,Praxeus,episode,02-02-2020,,5.22,78.0,49.0,2 Feb. 2020,5.0,3860.0,The Doctor and her friends split up to investigate multiple mysteries across planet Earth. What they find will threaten all of humanity.,Jamie Magnus Stone,Pete McTighe
revived,12.0,,292,6.0,Praxeus,episode,02-02-2020,,5.22,78.0,49.0,2 Feb. 2020,5.0,3860.0,The Doctor and her friends split up to investigate multiple mysteries across planet Earth. What they find will threaten all of humanity.,Jamie Magnus Stone,Chris Chibnall
revived,12.0,,293,7.0,Can You Hear Me?,episode,09-02-2020,,4.9,78.0,49.0,9 Feb. 2020,5.5,3451.0,"From ancient Syria to present day Sheffield, and out into the wilds of space, something is stalking the Doctor and infecting people's nightmares.",Emma Sullivan,Charlene James
revived,12.0,,293,7.0,Can You Hear Me?,episode,09-02-2020,,4.9,78.0,49.0,9 Feb. 2020,5.5,3451.0,"From ancient Syria to present day Sheffield, and out into the wilds of space, something is stalking the Doctor and infecting people's nightmares.",Emma Sullivan,Chris Chibnall
revived,12.0,,294,8.0,The Haunting of Villa Diodati,episode,16-02-2020,,5.07,80.0,49.0,16 Feb. 2020,6.9,3582.0,"Villa Diodati, 1816 - on a night that inspired Mary Shelley's Frankenstein. The plan was to spend the evening in the presence of literary greats - but the ghosts are all too real. And the Doctor is forced into an earth-shattering decision.",Emma Sullivan,Maxine Alderton
revived,12.0,,295a,9.0,Ascension of the Cybermen,episode,23-02-2020,,4.99,81.0,49.0,23 Feb. 2020,6.3,3355.0,"In the far future, the Doctor and her friends face a brutal battle across the farthest reaches of space to protect the last of the human race against the deadly Cybermen.",Jamie Magnus Stone,Chris Chibnall
revived,12.0,,295b,10.0,The Timeless Children,episode,01-03-2020,,4.69,82.0,65.0,1 Mar. 2020,4.9,4743.0,"In the epic and emotional season finale, the Cybermen are on the march. As the last remaining humans are ruthlessly hunted down, Graham, Ryan and Yaz face a terrifying fight to survive. Civilisations fall. Others rise anew. Lies are exposed, truths are revealed, battles are fought, and for the Doctor - trapped and alone - nothing will ever be the same again.",Jamie Magnus Stone,Chris Chibnall
revived,12.0,,296,,Revolution of the Daleks,special,01-01-2021,,6.35,79.0,71.0,,,,,Lee Haven Jones,Chris Chibnall
revived,13.0,Flux,297a,1.0,The Halloween Apocalypse,episode,31-10-2021,,5.79,76.0,50.0,,,,,Jamie Magnus Stone,Chris Chibnall
revived,13.0,Flux,297b,2.0,War of the Sontarans,episode,07-11-2021,,,77.0,59.0,,,,,Jamie Magnus Stone,Chris Chibnall
revived,13.0,Flux,297c,3.0,"Once, Upon Time",episode,14-11-2021,,,,49.0,,,,,Azhur Saleem,Chris Chibnall
revived,13.0,Flux,297d,4.0,Village of the Angels,episode,21-11-2021,,,,,,,,,Jamie Magnus Stone,Chris Chibnall
revived,13.0,Flux,297d,4.0,Village of the Angels,episode,21-11-2021,,,,,,,,,Jamie Magnus Stone,Maxine Alderton
revived,13.0,Flux,297e,5.0,Survivors of the Flux,episode,28-11-2021,,,,,,,,,Azhur Saleem,Chris Chibnall
revived,13.0,Flux,297f,6.0,,episode,05-12-2021,,,,,,,,,Azhur Saleem,Chris Chibnall
