era,season_number,serial_title,story_number,episode_number,episode_title,type,first_aired,production_code,uk_viewers,rating_episodes,duration,air_date,rating_imdb,rating_n,desc,director,writer
revived,7.0,,228,3.0,A Town Called Mercy,episode,15-09-2012,,8.42,85.0,45.0,15 Sep. 2012,7.3,5482.0,"The Doctor gets a Stetson (and a gun), and finds himself the reluctant Sheriff of a Western town under siege by a relentless cyborg who goes by the name of The Gunslinger. But who is he and what does he want?",Saul Metzstein,Toby Whithouse
revived,7.0,,229,4.0,The Power of Three,episode,22-09-2012,,7.67,87.0,41.0,22 Sep. 2012,7.5,5310.0,"Earth is suddenly visited by millions of small black cubes of unknown origin. The Doctor joins Amy, Rory and Rory's father, Brian, to help discover what these cubes bring for humanity.",Douglas Mackinnon,Chris Chibnall
revived,7.0,,230,5.0,The Angels Take Manhattan,episode,29-09-2012,,7.82,88.0,45.0,29 Sep. 2012,9.0,7591.0,"After Rory has an encounter with a weeping angel, the doctor and Amy travel to 1930's New York to save him, but they soon discover that the weeping angels have taken over Manhattan, and soon, maybe, the world.",Nick Hurran,Steven Moffat
revived,7.0,,231,6.0,The Snowmen,special,25-12-2012,,9.87,87.0,60.0,25 Dec. 2012,8.4,6260.0,"London, 1892. Snow is evolving, turning into icy monstrosities, but this is no concern for the Doctor who has given up trying to save the universe, leaving it to a clever young governess named Clara to save the day.",Saul Metzstein,Steven Moffat
revived,7.0,,232,7.0,The Bells of Saint John,episode,30-03-2013,,8.44,87.0,45.0,30 Mar. 2013,7.9,5410.0,"The doctor finds Clara in present day, where they work together to solve the mystery of people disappearing which as it turns out, has a sinister link to WiFi.",Colm McCarthy,Steven Moffat
revived,7.0,,233,8.0,The Rings of Akhaten,episode,06-04-2013,,7.45,84.0,44.0,6 Apr. 2013,7.3,5851.0,"The doctor takes Clara to the rings of Akheten, A partly destroyed planet, where a religious ceremony is about to be carried out, but a darkness is stirring, a hungry darkness that could consume the rings of Akhetan and the universe.",Farren Blackburn,Neil Cross
revived,7.0,,234,9.0,Cold War,episode,13-04-2013,,7.37,84.0,45.0,13 Apr. 2013,7.1,5001.0,"The doctor and Clara find themselves on a Russian cold war submarine that is falling to the bottom of the ocean because of an attack by a rogue Martian warrior, that 's still aboard.",Douglas Mackinnon,Mark Gatiss
revived,7.0,,235,10.0,Hide,episode,20-04-2013,,6.61,85.0,45.0,20 Apr. 2013,7.6,4962.0,The Doctor and Clara arrive at a supposedly haunted mansion where they find a ghost hunter and a psychic who are on the search for a legendary ghost known as 'the witch of the well',Jamie Payne,Neil Cross
revived,7.0,,236,11.0,Journey to the Centre of the TARDIS,episode,27-04-2013,,6.5,85.0,45.0,27 Apr. 2013,7.4,5012.0,"After the TARDIS is caught accidentally by an outer space trash collector, Clara is trapped deep inside of it where she finds herself on a journey through the doctor's past and her future.",Mat King,Stephen Thompson
revived,7.0,,237,12.0,The Crimson Horror,episode,04-05-2013,,6.47,85.0,45.0,4 May 2013,7.3,4779.0,"When they find a picture of the Doctor in a recently dead man's eye, it's up to Madame Vastra, Jenny and Strax to save The Doctor and find out what sinister secrets are going on at Sweetsville, Yorkshire.",Saul Metzstein,Mark Gatiss
revived,7.0,,238,13.0,Nightmare in Silver,episode,11-05-2013,,6.64,84.0,45.0,11 May 2013,7.3,4809.0,"the doctor takes Clara and the children she babysits to a rundown amusement park in space where Cybermen are hiding, and ready to invade the most precious place in the universe, The Doctor's mind.",Stephen Woolfenden,Neil Gaiman
